Name,Thesis,Original Reference
David Hume,"Sympathy (or in modern English 'empathy') is the basis of the moral virtues (e.g. justice, charity, generosity, meekness).",Treatise of Human Nature
David Hume,"A moral judgement that x is good is a moral judgment (and not, e.g. an aesthetic judgment) insofar as the judgment is disinterested and the judgment is essentially a positive emotion toward x.",Treatise of Human Nature
David Hume,Reason has nothing to with the distinction between right and wrong. Reason assists us in determining right and wrong courses of action.,Treatise of Human Nature
David Hume,There is no self (in the sense of inner subject of experience) and there is no self-concept; there are only bundles of impressions and ideas.,Treatise of Human Nature
David Hume,"Humean Conception of Causation: 1. The cause and effect must be contiguous in space and time. 2. The cause must be prior to the effect. 3. There must be a constant union betwixt the cause and the effect. (T, 173) (Kenny 2010)",Treatise of Human Nature
David Hume,Space and time are not infinitely divisible.,Treatise of Human Nature
David Hume,Belief is a feeling.,Enquiry Concerning Human Understanding
David Hume,Life is a series of introspections.,Treatise of Human Nature
David Hume,"The Missing Shade of Blue Thought Experiment: We have not seen every shade of blue, but we can imagine unseen shades. Conclusion: some ideas are not derived from impressions","Treatise of Human Nature, Enquiry Concerning Human Understanding"
David Hume,An ought cannot be derived from an is.,Treatise of Human Nature
David Hume,"Emotions compete only with each other, they do not compete with reasoning.",Treatise of Human Nature
David Hume,Emotions are a special kind of impression.,Treatise of Human Nature
David Hume,"Our belief in necessary connection is not a matter of reasoning, but of regularities in our experience.",Enquiry Concerning Human Understanding
David Hume,"All knowledge beyond immediate experience depends upon the notions of cause and effect, which enable us to discover what happened in the past and conjecture what will happen in the future.",Enquiry Concerning Human Understanding
Bertrand Russell,"Motivated behavior is controlled by a negative feedback cycle, where desire determines the equilibrium condition. ",The Analysis of Mind
Bertrand Russell,"Objects cause sense-data, but are distinct from them.",Problems of Philosophy
Bertrand Russell,"Logical atomism: Statements about objects reduce to statements about sensory experience, because physical objects are logically constructed out of sense-data. Atomic facts correspond to simple propositions. Atomic facts hold when a particular possesses a characteristic, or a relation exists between two or more particulars. Once logic has been properly formulated it will reveal the structure of the world.",Our Knowledge of the External World
Bertrand Russell,"There is a changeable world of existence (inhabited by sense-data, thoughts, and feelings), and a supra-sensible, unchangeing world of being inhabited by universals.",Problems of Philosophy
Bertrand Russell,"Sense-data (the contents of perceptual experience) and the objects that cause them can be distinguished in terms of knowledge by acquaintance and knowledge by description. We have knowledge by acquaintance of thing (e.g. a table), non-inferentially, via our sense-data of the thing. We have knowledge by description of objects as such (a table as a table) via our acquaintance with our sense-data. We can doubt the presence of the table, but not the presence of the sense-data.",Problems of Philosophy
Bertrand Russell,It is often easier to find out whether p is true than whether it is good to believe that p.,
Bertrand Russell,"Russell's Paradox: Naive set theory is inconsistent, insofar as it permits the construction of classes of classes that are not members of themselves. Any such class will simultaneously be a member of itself and not a member of itself.",Principles of Mathematics
Bertrand Russell,Mathematics and logic are identical.,Principles of Mathematics
Bertrand Russell,Knowledge of mathematical truths is not empirical.,Problems of Philosophy
Bertrand Russell,"Definite descriptions (e.g. 'the President of the United Nations', 'the cat') are not to be treated in the same manner as names. Genuine names simply refer to their objects, while definite descriptions assert the existence of their objects and attribute properties to those objects",On Denoting
Betrand Russell,Neutral monism: mind and matter consist of the data of the senses.,The Analysis of Mind
Betrand Russell,The natural number series can be continued ad infinitum only if the number of objects in the universe is itself infinite. The number of objects in the universe is not finite.,Principles of Mathematics
Betrand Russell,"Classes are not arbitrarily classifiable objects, e.g. no class can contain members defined in terms of itself, or in other words, there are no self-referring classes such as the class of classes that does not contain itself.",Principia Mathematica
Bernard Williams,"The morality of a choice, and thus the praiseworthiness or blameworthiness of a person, depends on luck.",Moral Luck
Blaise Pascal,"The doctrine of double effect is wrong, because more than intentions determine the moral quality of our actions.",Provincial Letters
Baruch Spinoza,"We should submit to the state, not just for protection from each other, but to enjoy ""a life of full self-realization"" and rationality.",Tractatus Theologico Politicus
Baruch Spinoza,"In democracy, the most natural form of government, people's natural equality with each other is preserved.",Tractatus Theologico Politicus
Baruch Spinoza,The mind is identical to the body. The soul is the idea of the body.,Ethics
Baruch Spinoza,The human mind is part of God's mind.,Ethics
Baruch Spinoza,Spinozism: There is only one substance and it is God.,Ethics
Baruch Spinoza,"A sign that you are not afraid to die is that you meditate on life, not death. You should strive to eliminate your fear of death. The object of fear, in general, is future evil and both the future and evil are ultimately unreal.",Ethics
BaruchSpinoza,Everything that happens does so necessarily. Determinism is true.,Ethics
BaruchSpinoza,It's better to want things that can be shared than to want things only one person can have.,Ethics
BaruchSpinoza,Mirth is always goodf; melancholy is always bad.,Ethics
Adam Smith,Sympathy occurs whenever we experience emotions as a result of imagining what it would be like to occupy another person's position.,
David Hume,"Sympathy occurs whenever we are caused to experience the same emotion someone else experiences, because they're experiencing it.",
Alfred Jules Ayer,Emotivism: themoral terms 'right' and 'wrong' express our positive and negative emotions and nothing more. To say that 'gender equality is morally good' is just to express our approval of gender equality.,"Language, Truth, and Logic"
Anaxagoras,"There are many worlds, possibly inhabited by intelligent creatures.",Fragments
Anaxagoras,"Mind caused the universe to unfold, rotationally, from a mixture of ingredients.",Fragments
Anaximander,The universe is a field of competing opposites.,Aristotle's Physics
Anselm,God is that than which no greater thing can be conceived.,Proslogion
Arcesilaus,One cannot even know that one knows nothing.,Academica
Aristotle,God thinks about God.,Metaphysics
Aristotle,"The truth about things cannot simply be that they appear a certain way to the senses, because the senses can conflict with each other.",Metaphysics
Aristotle,"Present and past-tense propositions are necessary propositions. If the proposition is ""Socrates was bald"" then it is necessarily the case that ""Socrates was bald"".",de Interpretatione
Aristotle,"As the Etruscans are said often to torture captives by chaining corpses to their bodies face to face, and limb to limb, so the soul seems to be spread out and nailed to all the organs of the bod)'.",Protrepticus
Aristotle,"Teleological explanations (1) explain things in terms of their terminus, not their beginning, and (2) invoke the notion of what is good for that kind of thing. Teleological explanation applies to every level of organization of nature, from the organism to the cosmos.",Physics
Aristotle,"Substances are the subjects of change, (e.g. a woman can be young and later old).",Categories
Aristotle,Everything in motion is moving because of something else.,Physics
Aristotle,"Happiness is an activity, which requires the exercise of all of the moral virtues, not just some of them. The good life is a life of virtue.",Eudemian Ethics
Aristotle,"Wisdom is essential for moral virtue, but not identical to it.",Nicomachean Ethics
Aristotle,Understanding is theoretical and concerned with eternal truths; wisdom is practical and concerned with human affairs.,Nicomachean Ethics
Aristotle,An action is voluntary if it is not forced on you and if you weren't in error when you chose to do it.,Nicomachean Ethics
Aristotle,"The soul cannot be divorced from the body. The soul is the activity by which a body maintains itself, develops, and decays.",de Anima
Aristotle,Being is not the same as existence.,Sophistical Refutations
Aristotle,"Matter is the principle of individuation. Two things, otherwise identical, are distinct insofar as they are constituted of different matter.",Metaphysics
Aristotle,"The are four kinds of explanations or answers to the question 'why': formal, efficient, final, material.",Physics
Aristotle,"Without motion, there is no time. But time, unlike motion, cannot be faster or slower. So, time and motion are not the same.",Physics
Aristotle,Motion is a continuus occupation of positions between two points--there is no jumping over intermediate points in the motion from A to B. Motion is continuous because space is continuous. Time derives its continuity from the continuity of motion. ,Physics
Aristotle,"Motion, he says, is the actuality of what is in potentiality, in so far as it is in potentiality.",Physics
Aristotle,Space depends on the existence of bodies. A vacuum is an empty place bounded by bodies.,Physics
Aristotle,"The infinite is only potential, it is not actual. What is divisible to infinity is not unendingy divisible.",Physics
Aristotle,"Points cannot be adjacent or continuous because they do not have parts, and therefore have no boundaries distinct from themselves.",Physics
Aristotle,There are two kinds of quantities: discrete and continuous.,"Metaphysics, Categories"
Aristotle,The nature of a virtue (arete) is its characteristic output (ergon). (E.g. virtue in thought--rationality--is to output true judgments.),Nicomachean Ethics
Aristotle,Concepts are derived from memories of sensory experiences.,Posterior Analytics
Aristotle,"Farmers are the best kind of people, merchants second, bankers last.",Politics
Aristotle,"All constitutions have three components: (1) a component that specifies rules for making war, forming alliances, and passing laws (deliberative), (2) a component that specifies how political offices will be filled (official), and (3) a part for specifying how the courts will work (judicial).",Politics
Aristotle,A state is a society of people who share moral and political values.,Politics
Aristotle,"There are three kinds of constitutions: monarchy, aristocracy, and democracy.",
Augustine of Hippo,"If I am in error, I exist.",Civitas Dei
Augustine of Hippo,"Language learning requires a special faculty. Setting aside that some words do not have ostensive defintions (e.g. ""of""), a teacher pointing and naming environmental stimuli involves too much ambiguity for a learner to acquire language for stimulus associations alone. ",de Magistro
Baron de La Bride et de Montesquieu,"There are three kinds of constitutions: republican, monarchical, and despotic.",The Spirit of the Laws
Boethius,"""...when p is a future-tensed proposition about a contingent matter, Either p or not-p is true, but neither p nor not-p need be definitely true.""","Anthony Kenny on Boethius's Commentary on Aristotle's ""On Interpretation"""
Boethius,"Species and genera(universals) exist outside of the mind, but they are only conceptually separable from individuals.",Patrologia Latina
Carneades,"Look to probability, not truth, to guide your life. Truth is unattainable.",Cicero's Academica
Charles Darwin,"There are three different kinds of selection: artificial, natural, sexual. The second Is the main mechanism of the evolution of species, and occurs when members of species fight for survival and reproduction against all of the forces that will kill them.",On the Origin of Species
Charles Sanders Peirce,"There are three kinds of evolution: evolution by fortuitous variation, evolution by mechanical necessity, and evolution by creative love. Love is the driving force of cosmic history.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,Physical laws are derived from mental laws.,The Essential Writings of Charles Peirce
Charles Sanders Peirce,Tychism: There is an irreducible element of chance in the universe.,The Essential Writings of Charles Peirce
Charles Sanders Peirce,"Mind is First, Matter is Second, Evolution is Third.'",The Essential Writings of Charles Peirce
Charles Sanders Peirce,"Scientific language requires monadic, dyadic, and triadic predicates, but not four-place predicates.",The Essential Writings of Charles Peirce
